src_n,ra_deg,dec_deg,spin period,perr,est. period,sep,name,mean I,stdev I,max I,min I,I range,mean V,stdev V,max V,min V,V range,est. period method,references,best period,trusted new period,Raj superorbital,Raj superorbital err,best superorbital,other period,type,interesting flag,interesting note,type note,aperiodic,range of medians,orbital cont,superorbital cont,mult superorbital,changing superorbital amp,redder when brighter,I V-I corr,V V-I corr,I V-I slope,I V-I int,V V-I slope,V V-I int,V-I transition,mean abs I vs. V-I residual,mean abs faint residual,mean abs bright residual,residual slope diff,bright res monotonic frac,faint slope,faint int,bright slope,bright int,0.95 slope,0.95 int,5 bright slope,5 bright int,Type II amp,X-ray behavior,follow-up note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part,I IQR,pf period,pf amp,pf phase diff,pf phase max,pf phase min,pf diff mean,pf mean,pf skew ,pf kurtosis,pf symm sum,pf mean err,base string,max std 5,rel max std 5,min std 5,det stdev I,det stdev/I range,base num,det IQR,calibration flag,stdev ratio,IQR ratio,sig stdev ratio,total days,# dips/flares,days / dip/flare,loop metric
52,15.808084,-72.154,345.2,0.9,94.4,0.0462537897178492,,15.254062593144601,0.369960428808118,15.706,14.638,1.068,15.1738214285714,0.262609542255558,15.44,14.763,0.677,,,,,,,,,1+?,1.0,many features of other sources,,,,,,,,yes,-0.978554990758034,-0.951798431200856,-2.88353992047158,15.021954470486401,-1.88353992047158,15.021954470486401,,0.0645795298821943,0.0225841739215613,0.061092360861368,0.4985841137473,0.625,-1.88163454236279,15.2119824478653,-2.05267118414985,14.9198231596576,-0.33261375890600897,14.739575489594701,0.242658663199999,14.6569173098996,,,,-0.47493942616007,-1.4249766911643897,-0.57094980937847,-1.48386285954399,100.615278437486,1.0,0.72575,100.615278437486,0.0151144128084741,0.4375,0.40625,0.96875,0.00722204309845698,15.250325398187,-0.0244983792383894,-1.3147132843645,0.00582363531146919,0.0027776560646197,undetermined or no base,0.35453123980828494,0.95829502887771,0.27182744526629393,0.0266247363221073,0.0249295283914862,-0.471999999999998,0.0212188366614949,0.0,0.0719664435677156,0.0292371156203857,0.0493134748896357,8099.83925,0.0,0.0,1.99172334688962
53,15.336185,-72.188614,455.0,0.52,74.96,0.0229839534120399,SXP 455,15.558355992844401,0.208384716104484,15.942,15.124,0.818,15.580646666666699,0.0918571453701647,15.754000000000001,15.417,0.337,,,,,1886.0,145.0,,,5,,,,,,,,,,yes,-0.974208887662126,-0.8733781158456221,-1.7104263957522698,15.600742872763501,-0.7104263957522758,15.600742872763501,,0.0332394143202418,0.0205894816312368,0.0312930866373847,0.203538897357638,0.615384615384615,-1.5029195232443202,15.635572561243,-1.25115499997543,15.5421228757389,-0.52325065030632,15.402223276343602,-0.275933789457597,15.350532204067099,,,,0.286248543364205,-1.25097439124081,0.343596595730062,-1.29430543710761,74.01692364344491,1.0,0.362,74.01692364344491,0.0143636925194706,0.5625,0.96875,0.40625,0.00533738991838828,15.555936904714,-0.7907941143171121,-0.460049174178756,0.00339573486750996,0.0013373255682461401,undetermined or no base,0.121249494844309,0.5818540683353879,0.138510649410073,0.0146137614325025,0.0178652340250642,0.0360000000000014,0.0168005318753828,0.0,0.0701287585082544,0.0464103090480188,0.0567190875081919,8099.83925,0.0,0.0,1.2282047609918039
54,13.733069,-72.75301999999999,499.2,0.51,265.3,0.45301850284677603,,14.766749719416401,0.0337951541467789,14.847999999999999,14.695,0.153,15.007457516339901,0.016932772465663,15.037,14.959000000000001,0.0780000000000012,X-ray,,,,,,,,5,,,re-classified as type 5 3/23/21,,,,,,,check,-0.923793774098187,0.549035030862579,-0.7859975762360101,14.957127608347198,0.214002423763974,14.957127608347198,,0.0110713141433541,0.008356608699415659,0.0114638597595305,0.30362839516005496,0.550724637681159,-0.543373863597126,14.9109953415664,-1.21606833577146,15.071303511543501,-0.085422295260948,14.722966938678802,-0.447917196952235,14.830943369294697,,,,0.1049243641866,-0.744587545403418,-0.607570943034847,-0.112791005817041,271.317163068335,1.0,0.0489999999999995,271.317163068335,0.0258998973964317,0.75,0.84375,0.09375,0.0115306019102864,14.7670418618578,-0.43531780302239,-1.0986928568276,0.0103524414935105,0.00312402888668006,undetermined or no base,0.0329569416056771,0.975197256462825,0.0168356764045882,0.00627591810910706,0.0410190726085429,0.0149999999999988,0.007782492660764359,0.0,0.185704674754538,0.158826380831927,0.16698485177482097,8105.89119,0.0,0.0,1.1261652365762256
55,15.697975,-72.0808,522.5,0.84,0.0,1.08255262931511,,16.143480893592,0.16862670513393696,16.323,15.53,0.793000000000001,15.9215561797753,0.08029740848947099,16.006,15.627,0.379,,,,,3000.0,,,,1,1.0,goes from approximately quiescent to type 1,add best period since auto det pd not present in q,,,,,,,yes,-0.9784986197610509,-0.899272726387378,-1.76483934883326,15.761786897940599,-0.764839348833254,15.761786897940599,,0.0271286307926153,0.0198994725529001,0.0431495035816356,0.11764305288890302,0.578947368421053,-1.51310460142408,15.824538409570598,-1.9005282038623899,15.7294058584778,0.0177970103864848,15.565505009216302,-0.995588645523322,15.6535064973017,,,,-2.20614242053058,3.7806075539671906,-1.9552595467927802,3.33714271397894,129.599094644357,1.0,0.053999999999998494,129.599094644357,0.0158764218525072,0.5,0.96875,0.46875,0.00887525293732172,16.1424854088182,0.38767057465039106,-0.418142034946,0.0029085498645683,0.0015775678027721,base at faintest,0.0434713698886986,0.257796473305755,0.26194732294871803,0.017090561533572,0.021551779991894,-0.572000000000005,0.0150064808609329,0.0,0.101351452725102,0.277897793720987,0.089648934374953,8099.83925,3.0,2699.94641666667,1.2845257599688242
56,14.400833,-72.32611,565.0,0.7,151.0,0.667688423767984,SXP 564,15.7989226485149,0.0250572281999541,15.895,15.636,0.259,16.0287278911565,0.041435230634445,16.129,15.93,0.199000000000002,X-ray,Galache 2008: 151,,,,,,,6,,,,,,,,,,check,-0.134870990777436,0.8693504294504351,-0.0718194090093701,15.8080446371949,0.928180590990615,15.8080446371949,,0.0164743775698969,0.0110213927362007,0.0110438096947673,-0.00211114565023107,0.601941747572816,0.014588044016763,15.811970011359,-0.0224908725636042,15.7860058601474,-0.0553306388128565,15.7667460469805,-0.00527468028308461,15.757330208476601,,,,0.054376335410497904,0.605789257334999,-0.0132557531850758,-0.14521102531605498,153.506822883865,1.0,0.0359999999999996,153.506822883865,0.0105907864407406,0.625,0.21875,0.59375,0.0048962961946206205,15.797579821551599,-0.272249570093376,-0.9943704936279308,0.0008882294470404471,0.00167009170067109,undetermined or no base,0.0187616630392939,0.7487525311889159,0.0432092582671818,0.0171055736713003,0.0660446859895764,0.009999999999998009,0.0220564406419008,0.0,0.682660250160137,0.612678906719473,0.62108205140892,8098.824640000001,0.0,0.0,0.8236338911247865
57,13.897454000000002,-72.485176,644.6,0.53,0.0,0.8191807638607441,SXP 645,14.6671300722624,0.17340324912036098,15.405999999999999,14.454,0.9520000000000001,14.745999999999999,0.0793513769612162,14.902999999999999,14.630999999999998,0.272,,,,,2857.0,81.0,,,3,,,,,,,,,,check,-0.66873745697943,-0.211997123512103,-1.3178341450052098,14.780704287091599,-0.317834145005182,14.780704287091599,,0.0637777560138725,0.0457141893884373,0.0326310198156156,0.10761215234792,0.61,-0.733339045739566,14.8102259551914,-0.606184462645469,14.648289879832099,-0.16455583438697302,14.506309795704698,-0.142491510943301,14.510160308943501,,,,1.97255179682404,4.25200588791564,0.575697132182703,-0.9291022976145601,70.9614794414155,1.0,0.163,70.9614794414155,0.00713841426617812,0.25,0.90625,0.65625,0.00301989460688679,14.666152330829501,-0.0556923139689994,-0.6544869872832839,0.0011342409473968,0.000943041306344366,base at brightest,0.29334253015885803,1.6916783949950502,0.0449470799941443,0.010639749111188,0.0111762070495672,0.5969999999999979,0.009571108781392109,0.0,0.061358418398509,0.0587184587815467,0.0476303415761068,8105.89119,1.0,8105.89119,0.7448654552641594
58,13.826359,-72.64775999999999,701.6,0.53,412.0,0.723621307813435,SXP 701,15.704044493882101,0.0268939171773069,15.815999999999999,15.623,0.193000000000001,16.0340705128205,0.0348553994970075,16.131,15.937999999999999,0.193,,,,,,,,,7,,,find reference for est. period and clarify if 6 or 7,,,,,,,check,-0.205374676736852,0.757280889595553,-0.15324251966612804,15.758910085555902,0.8467574803338841,15.758910085555902,,0.0179938374804722,0.0117990522225053,0.00998751659153119,0.0031297523345956697,0.574074074074074,-0.0274252016829771,15.7464866739121,-0.0174622714866032,15.702092870423,25.5145800889365,7.831037980380549,0.35194820762261503,15.5546164097456,,,,0.31850367223106,-0.127176794310062,0.203564786007108,0.21031162613952498,411.76120978879,1.0,0.038000000000000304,411.76120978879,0.0131363211951481,0.4375,0.59375,0.15625,0.00545659060525705,15.7041400480502,-0.33565023368208,-0.8392837240166071,0.00355780777638312,0.00250834851456063,undetermined or no base,0.0203666393889617,0.757295385967317,0.0121983605455816,0.0244455749113452,0.126661009903342,0.020999999999999,0.0345597784835281,0.0,0.908962972934727,0.90946785482968,0.8915635497305558,8105.89119,0.0,0.0,0.7621208978243764
59,16.480871,-72.06368,726.0,0.52,0.0,1.68146974163751,,15.4725093632959,0.0204975921905985,15.54,15.381,0.159000000000001,15.6624970760234,0.0280507839940069,15.729,15.596,0.132999999999999,,,,,,,,,7,,,re-classified as type 7 3/23/21,,,,,,,check,-0.15834213662081198,0.787512465930105,-0.111506085324001,15.497449436078501,0.8884939146759699,15.497449436078501,,0.0148705388044219,0.0111035351758605,0.00950353348900554,0.00872835836300967,0.581818181818182,-0.0876315707610548,15.5048984675836,-0.0832523341351786,15.4715213468359,0.23451953429467498,15.372053940132101,0.0989024444097153,15.407600144494698,,,,-0.0375790687567283,0.20259869643423603,0.226011325274617,-0.6933830918397671,3.2623789175260605,1.0,0.032,3.2623789175260605,0.0134164162077521,0.625,0.53125,0.90625,0.00652700864305322,15.471318398805002,-0.0405607139308853,-1.57755882623956,0.00439271348366052,0.00171001869753254,undetermined or no base,0.0106320270880016,0.44712042628833293,0.0203430577839221,0.0177509177624168,0.111640992216457,0.0069999999999996705,0.0261185484005591,1.0,0.866000142717177,0.816204637517472,0.8413743439367959,8099.83163,0.0,0.0,0.7820067095807726
60,12.425474,-73.38738000000001,755.5,0.52,390.0,0.531412116773328,SXP 755,14.6137513227513,0.0911203241229308,14.773,14.05,0.722999999999999,14.908733333333302,0.0723044181837382,15.129000000000001,14.628,0.500999999999999,X-ray,Galache 2008: 390,393.0,,,,,,4,,"phase tab manually updated with 393; pdgram with detrending gives 392, though",,,,,,,,yes,-0.7903821327759741,-0.5723536120414089,-2.1786465755796103,15.257632933838199,-1.1786465755796398,15.2576329338383,,0.0395260348093408,0.0376486872994174,0.0432429112338824,0.260481736945179,0.5,-1.63323509242823,15.107219090334699,-0.99316328257437,14.7578168104701,18.838571016451898,7.12489605861318,0.224799299784264,14.2489163838345,,,,-1.46894355042299,4.7939734020707405,-0.7991838656673,1.8472179280333,350.69156602615897,1.0,0.0990000000000002,393.0,0.14738014866958898,0.9375,0.53125,0.59375,0.0143311540772152,14.603475331094598,-3.53728032199062,10.701833747576801,0.00144267265939847,0.00200119496195453,base at faintest,0.0460460638925845,0.50533252966115,0.10649957746395099,0.0524451592919751,0.0725382562821233,-0.350999999999999,0.0168023150462773,0.0,0.575559402326326,0.169720354002801,0.19475857078814604,8261.18847,0.0,0.0,1.0499686068064646
61,12.373937,-73.18304,894.0,0.57,91.5,0.278196891414998,,15.9433861111111,0.0220055126019946,16.000999999999998,15.87,0.131000000000002,16.2797575757576,0.0306268156449097,16.355,16.187,0.16799999999999898,,,,,,,,,6,,,clarify if 6 or 7,,,,,,,check,0.0111001829053252,0.6178537927904579,0.014329620728473,15.9392684500471,1.01432962072843,15.9392684500471,,0.0202506653203849,0.0116529868155939,0.007856938777919709,0.040295357602528094,0.5581395348837211,-0.182669231198039,16.0231072459875,0.0233541473000155,15.913519010954001,25.3707464062845,7.937078150531559,1.10700126790895,15.529587677327699,,,,-0.0747363797795196,-0.358669184358091,-0.109414373587703,-0.139365770447998,90.8689821909223,2.0,0.032,90.8689821909223,0.00917978359838223,0.25,0.65625,0.40625,0.0050934953901276,15.942366626487802,0.173753566559246,-0.377961173785334,0.00267501981518389,0.00145135893413744,undetermined or no base,0.0183804243694211,0.835264540384081,0.0186611896726871,0.0121448323069567,0.0927086435645535,-0.0130000000000017,0.0147249534934648,0.0,0.551899541111161,0.460154796670775,0.496977697143026,4488.34912,0.0,0.0,0.7484611721623685
62,15.527875,-71.68772,967.0,0.83,101.94,0.215003421075824,,14.3429314456036,0.120612476008285,14.872,14.089,0.7829999999999999,14.402859813084099,0.0824034352561903,14.798,14.295,0.503,,,,,,,,,2,,re-classified back to type 2 4/15/21 but position makes sense as in-between 2 and 5,,,,,,,,check,-0.7709091623384251,-0.40956870629077,-1.58966071498851,14.4544998615556,-0.589660714988497,14.4544998615556,,0.0531533902898115,0.0720368893162414,0.0385237734611589,-0.6245475065226489,0.64,-0.361322280433706,14.651117704851,-1.14667287780249,14.399408198071301,0.162673063101766,14.1264438329221,0.162673063101762,14.1264438329221,,,,1.14099591898403,1.7444837310370502,2.17833521996614,6.73839679615659,102.10692647897899,1.0,0.119,102.10692647897899,0.0223353195667411,0.75,0.34375,0.59375,0.0065544264498542705,14.339169384751699,-1.11202676897099,-0.249893478528901,0.00783475402558358,0.00147005873174007,undetermined or no base,0.192795643104298,1.59847181224482,0.0583801336072464,0.0156415043125626,0.0199763784323916,0.282,0.0151235268027801,0.0,0.129683966619574,0.127088460527564,0.0953340992511218,6622.87125,3.0,2207.62375,-0.3118672189092334
