src_n,ra_deg,dec_deg,spin period,perr,X-ray period,X-ray period error,est. period,Coe est. period,Coe eccentricity,Coe eccentricity err,sep,name,est. period method,best period,best superorbital,other period,period shape,big dip,orbital cont,superorbital cont,mult superorbital,Type II amp,note,I skew,I kurtosis,V skew,V kurtosis,best auto det pd,Part,I IQR,aperiodic quiescence,abs mean I vs. V-I residual,mean abs faint residual,mean abs bright residual,residual slope diff,bright res monotonic frac,bright - faint slope,best 2-200d period,2-200d period above FAL?,Haberl nearby period above FAL?,Coe nearby period above FAL?,# 2-200d peaks above FAL,best near Coe,est. skew,est. kurtosis,est. range,near est. skew,near est. kurtosis,near est. range,Coe skew,Coe kurtosis,Coe range,near Coe skew,near Coe kurtosis,near Coe range,2-200d skew,2-200d kurtosis,2-200d range,X-ray skew,X-ray kurtosis,X-ray range,exclude from color-mag,exclude OII from color-mag,V IQR,IQR V-I,stdev I,stdev V,stdev I/stdev V,median I,median V,median V-I,mean of V-I,90% I,90% V,90% V-I,75% I,75% V,75% V-I,25% I,25% V,25% V-I,10% I,10% V,10% V-I,I V-I corr,loop metric,sig stdev ratio,base num,type,number switch,stdev V-I
16,13.058333,-73.32166,15.3,1.0,,,74.51,74.3,,,0.357691503166213,SXP 15.3,,,,,,,,,,,,1.37426492608471,0.875169419964707,1.04132651928548,-0.489576182036042,74.3219085271219,1.0,0.16000000000000000,NO,0.143524245544309,0.02186586084307210,0.059969469305394500,0.7460952306718640,0.48760330578512400,1.1489763180003300,74.3273547784363,yes,yes,yes,19,74.3219085271219,-0.125130936762493,-0.744589359321209,0.0125473135842249,-0.100323471427797,-1.1222484830549,0.0122257476363661,-0.150208243302147,-1.11334181427729,0.0121106337057064,-0.100323471427797,-1.1222484830549,0.0122257476363661,-0.0385683030282085,-1.03020747686619,0.0131219541339433,,,,no,no,0.24574999999999900,0.0857499999999991,0.17032282634135600,0.17329854894564700,0.982828923713469,14.479,14.693000000000000,0.2140000000000020,0.21876948400794000,14.826,15.0823,0.25630000000000000,14.561,14.90325,0.34225000000000000,14.401,14.6575,0.25650000000000100,14.386,14.6279,0.6963000000000010,-0.28392614544546700,2.0999448678558100,0.0839392986945756,0.42100000000000100,2,4.0,0.07219343956076830
17,12.23147,-73.82957,15.64,0.56,,,36.43182,,,,1.59978779361066,,,,,,,,,,,,,1.78808537370078,2.48490033762925,2.07453936653682,3.35651349319839,36.430025542914100,1.0,0.1225000000000010,NO,0.023730829117631,0.01453097568639260,0.019232510312083700,0.08219315352166790,0.2903225806451610,0.21263292607879700,36.427233317690300,yes,yes,no,5,36.427233317690300,-1.62725033664302,2.60119563445649,0.0337586656428091,-1.36339624229531,1.57311681675401,0.031213809151474,,,,-1.33690049954225,1.17832247108651,0.0309087325185118,-1.33690049954225,1.17832247108651,0.0309087325185118,,,,no,no,0.0625,-0.0600000000000005,0.1689797049980140,0.10559068452767800,1.600327772794390,14.781,14.8415,0.06049999999999930,0.04800750343627710,15.11,15.0593,-0.05069999999999910,14.8605,14.886,0.02549999999999920,14.738,14.8235,0.08549999999999970,14.716,14.802300000000000,0.34330000000000100,-0.9743333607524380,0.5834205946208190,0.116148869696003,0.41799999999999900,2,1.0,0.077055223633524
19,12.29786,-72.82671,18.37,0.5,17.73,0.01,17.79,17.79,0.43,0.03,1.09994115086326,SXP 18.3,,,,,,,,,,,,-0.142232637791435,-1.53043411395129,0.38751880090515800,-1.09193083405868,17.9555235304119,2.0,0.7515000000000000,NO,0.0747369183336156,0.08478883458510690,0.06278877427187840,-0.11180568842763200,0.3409090909090910,-0.37381549305548400,130.786537153769,yes,no,no,9,17.9555235304119,0.324587358924229,-1.36838769701794,0.0282319004082439,-0.37215080148164700,-0.98515035186473,0.0308533085735832,0.324587358924229,-1.36838769701794,0.0282319004082439,-0.37215080148164700,-0.98515035186473,0.0308533085735832,-0.570569681488143,-0.914215698539753,0.0764835871374494,-0.0615069388396188,-0.394051511501229,0.0321840053810956,no,no,0.45700000000000100,-0.2944999999999990,0.39559407501244300,0.2511608658236030,1.5750625548897400,15.42,15.553,0.1330000000000010,0.24892407864399300,15.944,16.0276,0.08359999999999880,15.907,15.9335,0.026500000000000400,15.1555,15.4765,0.32100000000000000,14.954,15.378600000000000,1.073600000000000,-0.9634952657054520,0.031182613515323500,0.139940073603076,-0.0579999999999998,1+5,1.0,0.12809575134484100
20,19.41848,-73.51407,22.07,1.34,,,75.97,,,,1.30352558709247,SXP 22.1,,,,,,,,,,,,0.79009033669505,-0.320876352609405,0.42391021610709800,-0.69566863077247,83.3987045728504,1.0,0.058000000000001600,NO,0.011376209371736000,0.008090784693376310,0.004456342859050840,-0.14754561470513900,0.16129032258064500,0.12700866202520700,83.3972835796188,yes,yes,no,2,83.3972835796188,-0.298727751442487,0.125147332318019,0.005592582123860270,-0.299509214928483,-1.18059853499431,0.00522115731369333,,,,-0.354806377200834,-0.981737872082466,0.0057729470491310100,-0.354806377200834,-0.981737872082466,0.0057729470491310100,,,,no,no,0.026999999999999200,-0.03100000000000240,0.040006482402392500,0.015276815480066200,2.6187710687868500,14.042,14.215,0.17300000000000000,0.15752369742688700,14.117,14.240200000000000,0.12320000000000100,14.085,14.231,0.14599999999999900,14.027,14.204,0.17700000000000100,14.012,14.1998,0.22820000000000100,-0.8705120488367660,0.02095185681192350,0.191929650390241,0.0679999999999996,3,0.0,0.01784965010731800
21,12.059113500000000,-73.16776,25.55,0.63,,,22.5,22.5,,,0.382773434604446,SXP 25.5,,,,,,,,,,,,0.204241079806522,-0.610342426984011,0.163061971319405,-1.10556593227102,22.510701678379,1.0,0.11900000000000000,NO,0.0458376524679133,0.02968521357076690,0.03532059320868440,0.38172515534004600,0.22580645161290300,-0.9589235133258760,11.264042582985200,yes,yes,yes,4,22.510701678379,-0.160569581303352,0.592742783286211,0.0351163753903379,-0.273506694320516,-0.129618617833712,0.0337786714085393,-0.160569581303352,0.592742783286211,0.0351163753903379,-0.273506694320516,-0.129618617833712,0.0337786714085393,-0.448539677802042,-0.656050535981756,0.0271357478558034,,,,no,no,0.2392499999999980,0.12024999999999900,0.08437130342459510,0.12681425717253600,0.6653140215126140,15.699,15.839000000000000,0.1399999999999990,0.1254090612813670,15.824,16.018700000000000,0.19470000000000300,15.761,15.967750000000000,0.20675000000000000,15.642,15.7285,0.08650000000000090,15.5962,15.687700000000000,0.422500000000003,0.6742002022243390,0.8219274965712820,0.305824434901886,0.0220000000000002,3,0.0,0.05447970158656410
22,17.785799,-73.279465,31.03,0.73,,,90.5,90.4,,,0.235024740815002,SXP 31.0,,,,,,,,,,,,-0.27556497402339400,-0.613649263568635,0.115542414046369,2.19263008389291,90.4169626950288,1.0,0.08200000000000070,NO,0.0153702082381682,0.014144137432057100,0.017821756567347600,0.010147250771796200,0.16216216216216200,0.1765232990686380,90.43381361240100,yes,yes,yes,9,90.4169626950288,-1.07218469887938,-0.468656661211502,0.0245615575775027,-1.05876123638506,-0.27749245410921,0.025827135707333,-0.955183604479054,-0.604360635250868,0.0235558109776246,-1.05876123638506,-0.27749245410921,0.025827135707333,-1.06235658396562,-0.196199225635714,0.0268119510771641,,,,no,no,0.02224999999999970,-0.05975000000000110,0.05909596374360110,0.025547074471517400,2.3132184395316000,15.295,15.501,0.20600000000000000,0.22952521279598900,15.354,15.533100000000000,0.1791000000000020,15.327,15.51,0.18300000000000000,15.245,15.48775,0.2427500000000010,15.194,15.4726,0.3391000000000000,-0.9136655015697080,0.30449132506158000,0.223214380389943,-0.0280000000000005,3,0.0,0.040860339111676100
23,13.480083000000000,-72.44603,46.63,0.6,137.36,0.35,137.36,137.4,,,0.647529103593992,SXP 46.6,,,,,,,,,,,,1.22555044524251,1.47849972440173,2.92719370038422,10.507369726304000,137.802126290181,1.0,0.1039999999999990,NO,0.0192868446554112,0.04664186592571190,0.010636618123365200,-0.19667876412185900,0.344,4.048048840599470,137.764776581445,yes,yes,yes,6,137.802126290181,-1.54672819306708,0.727646636839651,0.0210440180880571,-2.21851805261859,4.06694897753077,0.0304872068811743,-1.5889734089810400,1.00412190598688,0.0227612642064585,-2.21851805261859,4.06694897753077,0.0304872068811743,-2.47219384629078,5.55974899335703,0.031878342091666,-1.54672819306708,0.727646636839651,0.0210440180880571,no,no,0.04525000000000110,-0.05874999999999810,0.09382432234945840,0.05706732455276840,1.6440988443868900,14.660500000000000,14.77,0.1095000000000010,0.09051581069060350,14.813,14.811400000000000,-0.0016000000000016000,14.722,14.793750000000000,0.07175000000000150,14.618,14.7485,0.13050000000000000,14.593,14.726700000000000,0.21839999999999900,-0.9273513917435410,-0.27466571257366900,0.132200628238831,0.232000000000001,2,1.0,0.038802119206778300
24,13.734498,-72.44646,59.07,0.59,122.1,0.38,62.1,122.0,,,1.09032907177422,SXP 59.0,,,,,,,,,,,,0.5493164721806,-0.272308828841904,0.336276499806837,-0.858390965630448,60.913413133232500,1.0,0.27500000000000000,NO,0.0372945094801713,0.016435343884337500,0.0412357402028961,0.17364462534769300,0.27884615384615400,-0.12577806978281300,114.89849502747100,yes,no,yes,9,114.89905483738700,0.157438126919622,-1.20860479546366,0.00515194308544942,-0.174056631691677,-0.890794949713929,0.0108312040968919,-0.00928370348138097,-1.03207210321519,0.007084962350006660,-0.678604042201094,-1.03669985740212,0.008644739124751060,-0.663091610654021,-1.05181493372862,0.00854223657948339,-0.369372101731105,0.144620659520368,0.009644116268709980,no,no,0.19175000000000100,-0.0832499999999996,0.1773279291038700,0.09836510688014940,1.8027523654290400,15.32,15.3915,0.07150000000000030,0.06305953036016490,15.561,15.5258,-0.035199999999999700,15.452,15.48325,0.03125,15.177,15.2915,0.1145000000000000,15.112000000000000,15.276300000000000,0.4137999999999980,-0.9664953395224390,0.9799164590418180,0.0724515610928619,0.219999999999999,2,0.0,0.08837910174527720
25,16.802626,-72.59272,65.78,0.87,,,110.6,111.0,,,0.29591927780473,SXP 65.8,,,,,,,,,,,,-0.0908701098884135,-0.809076442206644,-0.623311217976447,-1.27350061595586,110.87643960215,1.0,0.05999999999999870,NO,0.0851167086589728,0.02140342189955930,0.01739606983457980,0.1033394645847540,0.4634146341463420,0.47725240702536400,55.3342190610455,yes,no,no,6,110.87643960215,-1.28209345376595,0.74269400462737,0.0867527647738466,-2.25113799653982,5.21878385007667,0.119015677877988,-1.72412272149521,3.1863108125209400,0.0952546624373696,-2.25113799653982,5.21878385007667,0.119015677877988,-0.559961141205786,-0.575231350548959,0.0614412760354472,,,,calib,no,0.031500000000001200,-0.028499999999997500,0.05559820690808460,0.03283424525430040,1.6932993731842400,15.749,15.7645,0.015499999999999400,0.02595582131877430,15.818,15.8129,-0.005099999999998770,15.78,15.782000000000000,0.0020000000000024400,15.72,15.7505,0.03050000000000000,15.688500000000000,15.731700000000000,0.12440000000000000,-0.6535414910527020,0.7206049482576280,0.692225489011261,0.110999999999999,5,0.0,0.025177974856256600
26,12.263891000000000,-72.847824,74.67,0.62,61.6,0.2,33.38,33.3,0.4,0.23,0.181333576129748,SXP 74.7,,,,,,,,,,,,0.851739406703363,0.250392457809475,1.41829552361514,2.8696752374787600,33.4149737845153,1.0,0.05999999999999870,NO,0.0338517285768199,0.022988089182599900,0.015894066523356200,0.105104591292007,0.31521739130434800,0.4526403133839870,33.4128613880653,yes,yes,yes,4,33.4149737845153,-0.674714593396193,-0.961607989037829,0.0165364310384426,-0.541800572558374,-1.12072442577094,0.0171946209032221,-0.357984607314762,-0.417555432537176,0.0188150263180873,-0.541800572558374,-1.12072442577094,0.0171946209032221,-0.505459279754803,-1.12294568897222,0.0175081113995219,-0.99235485933324,-0.198645374467582,0.00713538710934003,no,no,0.058499999999998700,-0.0015000000000000600,0.04874549714866690,0.04826511097870680,1.0099530729385900,16.684,16.9,0.21599999999999800,0.21559002006327600,16.774,16.976,0.20199999999999800,16.721,16.935,0.21399999999999900,16.661,16.8765,0.2154999999999990,16.645,16.863,0.3310000000000000,-0.3892159716416160,0.45835648366109700,0.342335441838279,0.0679999999999978,3,0.0,0.04113735638701600
27,13.037084,-72.63416,82.4,0.6,362.3,4.1,362.3,362.0,,,0.333036283859333,SXP 82.4,,,,,,,,,,,,0.0790259736973214,-1.60247730848564,0.215940856960466,-1.55103966185071,362.50522568042400,1.0,0.6000000000000000,NO,0.10565930317035700,0.014491772719248200,0.07619730527372020,0.7405797222110260,0.47580645161290300,0.8996541995937140,103.334533131315,yes,no,no,1,362.50522568042400,-0.0559184410708116,-1.03037470777781,0.00458481349377848,0.127269369229864,-0.0816320065810516,0.00786751692254484,-0.0166599894785693,-1.20281703043157,0.0047237598457368100,0.127269369229864,-0.0816320065810516,0.00786751692254484,0.167008013695908,-0.540080955143671,0.00743179776869241,-0.0559184410708116,-1.03037470777781,0.00458481349377848,no,no,0.4110000000000000,-0.18900000000000000,0.29289769154267800,0.20093992192941500,1.4576381275074100,15.0675,15.224,0.15649999999999900,0.20739928150904300,15.504,15.543800000000000,0.03979999999999780,15.424,15.523,0.0990000000000002,14.824,15.112,0.28800000000000000,14.744,15.027,0.7997999999999980,-0.9086555042418570,2.4482517526892600,0.0383452438220819,0.124999999999998,1+2,1.0,0.11898690671481600
28,12.737854000000000,-72.22597,91.12,0.52,87.6,0.3,88.3,88.0,,,0.917587410951392,SXP 91.1,,,,,,,,,,,,-0.27551966159716,0.829794787917015,0.12290824587779,-1.1230656803557,88.320037410772,1.0,0.036000000000001400,NO,0.019184540405589,0.010304474318722100,0.010358599216463800,-0.010391958152212900,0.38461538461538500,-0.34879250600642100,88.3275924281234,yes,yes,yes,5,88.320037410772,-0.806695624073548,-0.823102946199359,0.0486595891435915,-0.792786781368985,-0.810610511332994,0.0508701630188071,-0.408141511723644,-1.18409648431519,0.0408880894600117,-0.792786781368985,-0.810610511332994,0.0508701630188071,-0.797473493370189,-0.816040186440536,0.05013631838501810,-0.00672734964778299,-1.2447426388869,0.0214212717705067,no,no,0.047250000000000000,0.01124999999999870,0.0255988259460188,0.026840700011052900,0.9537316811959940,14.77,15.0085,0.23850000000000000,0.2446216392791150,14.796,15.048,0.25200000000000100,14.787,15.039,0.2519999999999990,14.751,14.99175,0.24075000000000000,14.728,14.98,0.3200000000000000,-0.19384500140770200,0.549271291262837,0.758729586052774,-0.0249999999999986,5,0.0,0.018251646111793300
30,14.362833,-73.42208,101.16,0.83,,,21.95,21.9,,,0.0915777029844586,SXP 101,,,,,,,,,,,,-1.05642413986302,0.360934501417279,-0.45023512491081700,-0.0156162373573645,21.9589962820537,1.0,0.051000000000000200,NO,0.0208230795662596,0.012127174700841800,0.016675237605330800,-0.009285370743375430,0.3225806451612900,-0.7148626901626670,21.958657607270000,yes,yes,yes,7,21.9589962820537,-0.165456575286074,-1.36455879133021,0.0245555911242406,-0.285393237422013,-1.24547227432074,0.0259418371175624,-0.0144293282310016,-1.08017353063951,0.0153464662449387,-0.285393237422013,-1.24547227432074,0.0259418371175624,-0.280357271657545,-1.20489088476849,0.0258748390811405,,,,no,no,0.038000000000000300,-0.0129999999999999,0.04720481374155970,0.02898682544622940,1.6284920136951400,15.596,15.697,0.10099999999999900,0.10805207210567000,15.628600000000000,15.724,0.09540000000000150,15.614,15.711,0.09699999999999950,15.563,15.673,0.10999999999999900,15.502400000000000,15.646,0.2215999999999990,-0.8565184040914820,0.5309129765011830,0.317147442990899,-0.093,3,1.0,0.03121228048606410
